# apollo 2025-06-24 21:10
#
# GNU/Linux 6.13.0-1-default #1 SMP PREEMPT_DYNAMIC Mon Jan 20 07:26:08 UTC 2025 (1513344) x86_64 openSUSE Tumbleweed
# Intel Core i7-1355U (AVX2-VNNI) (12 threads, 2 performance cores, 8 efficient cores), 12MB cache
# 32 GB RAM
# gcc 14.2.1
# Python 3.11.11 [gcc] OpenBLAS 0.3.29
# R version 4.4.2 (2024-10-31) Rblas
#
# Python modules (via reticulate):
# numba           0.61.2
# cython          3.1.2
# numpy           2.2.6
# scipy           1.15.3
# sklearn         1.7.0
# pykdtree        1.4.1*
#
# R packages:
# RANN            2.6.2*
# nabor           0.5.0*
# dbscan          1.2.2*
# mlpack          4.6.2*
# reticulate     1.42.0*
#
# Other:
# pico_tree       1.0.0*
#
# * - compiled with -O3 -march=native
#
"method","user.self","sys.self","elapsed","Δdist","Σdist","Δidx","n","d","k","nthreads","time","host"
"r_genieclust_brute",0.0710000000000002,0,0.0719999999999992,0,223.859409320001,0,8192,2,1,1,1750795601,"apollo"
"r_genieclust_kdtree",0.004,0,0.00300000000000011,0,223.859409320001,0,8192,2,1,1,1750795601,"apollo"
"pico_tree",0.00300000000000011,0,0.00399999999999956,0,223.859409320001,0,8192,2,1,1,1750795601,"apollo"
"py_genieclust_kdtree",0.00600000000000023,0,0.00500000000000078,0,223.859409320001,0,8192,2,1,1,1750795601,"apollo"
"py_pykdtree",0.004,0,0.00400000000000134,0,223.859409320001,0,8192,2,1,1,1750795601,"apollo"
"py_sklearn_kdtree",0.0129999999999999,0,0.0129999999999999,0,223.859409320001,0,8192,2,1,1,1750795601,"apollo"
"r_dbscan",0.012,0,0.011000000000001,0,223.859409320001,0,8192,2,1,1,1750795601,"apollo"
"r_mlpack_kdtree_single",0.00900000000000034,0,0.00999999999999979,0,223.859409320001,0,8192,2,1,1,1750795601,"apollo"
"r_mlpack_kdtree_dual",0.0089999999999999,0,0.00900000000000034,0,223.859409320001,0,8192,2,1,1,1750795601,"apollo"
"r_nabor",0.00700000000000012,0,0.00699999999999967,0,223.859409320001,0,8192,2,1,1,1750795601,"apollo"
"r_rann_kdtree",0.0089999999999999,0,0.00900000000000034,0,223.859409320001,0,8192,2,1,1,1750795601,"apollo"
"r_genieclust_brute",0.0670000000000002,0.001,0.0689999999999991,0,223.859409320001,0,8192,2,1,1,1750795602,"apollo"
"r_genieclust_kdtree",0.00300000000000011,0,0.00199999999999889,0,223.859409320001,0,8192,2,1,1,1750795602,"apollo"
"pico_tree",0.00300000000000011,0,0.00200000000000067,0,223.859409320001,0,8192,2,1,1,1750795602,"apollo"
"py_genieclust_kdtree",0.00300000000000011,0,0.00200000000000067,0,223.859409320001,0,8192,2,1,1,1750795602,"apollo"
"py_pykdtree",0.004,0,0.00399999999999956,0,223.859409320001,0,8192,2,1,1,1750795602,"apollo"
